,Title,Price,Img,Mrp,Rating,onlyRating,Delivery,Detail,Off
0,Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXW3HN/A,"₹75,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/b/n/-original-imagfdf4xnbyyxpa.jpeg?q=70,"₹99,900","4.715,120 Ratings & 895 Reviews",4.7,Free delivery,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",23% off
1,Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY13HN/A,"₹75,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/v/c/a/-original-imagfdfpnjjpdhq2.jpeg?q=70,"₹99,900","4.715,120 Ratings & 895 Reviews",4.7,Free delivery,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",23% off
2,Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,"₹75,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/v/v/-original-imagfdeqter4sj2j.jpeg?q=70,"₹99,900","4.715,120 Ratings & 895 Reviews",4.7,Free delivery,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",23% off
3,DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,"₹34,850",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/h/1/inspiron-3520-thin-and-light-laptop-dell-original-imahyggypmfkkpnf.jpeg?q=70,"₹48,827","4.23,874 Ratings & 276 Reviews",4.2,Free delivery,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Hardware Service,28% off
4,Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,"₹11,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/6/g/-original-imagy3tzbj3xgvu4.jpeg?q=70,"₹28,690",3.7647 Ratings & 42 Reviews,3.7,Free delivery,MediaTek Kompanio 520 Processor4 GB LPDDR4X RAMChrome Operating System35.56 cm (14 Inch) Display1 Year Carry-in Warranty,58% off
5,Lenovo IdeaPad Slim 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) 14IRU8 Thin and...,"₹36,190",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/6/w/slim-3-thin-and-light-laptop-lenovo-original-imahyxfqtb5gykqp.jpeg?q=70,"₹55,090",4.233 Ratings & 3 Reviews,4.2,Free delivery,Intel Core i3 Processor (13th Gen)8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Yr Onsite,34% off
6,Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXY3HN/A,"₹75,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/n/p/-original-imagfdfew8gszzhk.jpeg?q=70,"₹99,900","4.715,120 Ratings & 895 Reviews",4.7,Free delivery,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",23% off
7,SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,"₹38,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/u/e/-original-imah46f8th3pnphq.jpeg?q=70,"₹57,499","4.51,302 Ratings & 178 Reviews",4.5,Free delivery,Intel Core i3 Processor (13th Gen)8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,32% off
8,Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,"₹52,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/8/5/a715-76g-gaming-laptop-acer-original-imah42frvgfqzjb7.jpeg?q=70,"₹84,999","4.22,270 Ratings & 180 Reviews",4.2,Free delivery,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,37% off
9,ASUS Vivobook Go 14 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1404FA-NK321WS Th...,"₹30,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/n/3/-original-imah2y2teghzh7xe.jpeg?q=70,"₹50,990","4.25,244 Ratings & 522 Reviews",4.2,Free delivery,AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,39% off
